,SASTRA - Main Campus,,,,,,,,,,
0,Date,Day,"B. Tech./ 
B.Optom./ 
M.Tech./ 
M.B.A./ 
M.C.A./ M.Sc.","BA.,LL.B. 
(Hons.)/ 
BBA.,LL.B. 
(Hons.)/ 
B.Com.,LL.B. 
(Hons.)","M.Sc. (Intg.)/ 
B.Com. (CA)/ 
B.Com. 
(BFSI)","B.A., B.Ed./ 
B.Sc., B.Ed.","I Year B. 
Tech./ 
B.Optom./ 
M.Tech./ 
M.Optom.","I Year        
M.B.A./ 
M.C.A./ M.Sc.","I Year 
BA.,LL.B. 
(Hons.)/ 
       
BBA.,LL.B. 
(Hons.)/ 
B.Com.,LL.B. 
(Hons.)/      
M.Sc. (Intg.)","I Year 
B.Com.(CA)/ 
B.Com. 
(BFSI)","I Year         
B.A., B.Ed./ 
B.Sc., B.Ed."
1,22-08-2022,Mon,1,1,1,1,,,,,
2,23-08-2022,Tue,2,2,2,2,,,,,
3,24-08-2022,Wed,3,3,3,3,,,,,
4,25-08-2022,Thu,4,4,4,4,,,,,
5,26-08-2022,Fri,5,5,5,5,,,,,
6,27-08-2022,Sat,,,,6,,,,,
7,28-08-2022,Sun,,,,,,,,,
8,29-08-2022,Mon,6,6,6,7,,,,,
9,30-08-2022,Tue,7,7,7,8,,,,,
10,31-08-2022,Wed,"Vinayagar '
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti","Vinayagar 
Chaturti"
11,01-09-2022,Thu,8,8,8,9,,,,,
12,02-09-2022,Fri,9,9,9,10,,,,,
13,03-09-2022,Sat,10 -  Wed,10 -  Wed,10 -  Wed,11,,,,,
14,04-09-2022,Sun,,,,,,,,,
15,05-09-2022,Mon,11,11,11,12,,1,,1,1
16,06-09-2022,Tue,12,12,12,13,,2,,2,2
17,07-09-2022,Wed,13,13,13,14,,3,,3,3
